,Ontology_Words,Code_Count,Intent_Count,Fuzzy_Code_Count,Fuzzy_Intent_Count
142,tuple,2270.0,880.0,3165.0,245.0
143,column,728.0,349.0,1702.0,449.0
144,attribute,166.0,124.0,342.0,0.0
145,domain,24.0,4.0,28.0,0.0
146,schema,432.0,128.0,572.0,396.0
147,intension,0.0,0.0,0.0,0.0
148,extension,137.0,52.0,186.0,26.0
149,tuple,2270.0,880.0,3165.0,245.0
150,integrity,105.0,24.0,105.0,633.0
151,entity,44.0,22.0,166.0,146.0
152,atomic,2.0,2.0,2.0,0.0
153,uniqueness,2.0,1.0,39.0,466.0
154,key,3480.0,645.0,4941.0,708.0
155,insert,226.0,82.0,280.0,26.0
156,delete,320.0,40.0,595.0,35.0
157,update,1461.0,198.0,1803.0,54.0
158,reject,2.0,2.0,15.0,0.0
159,cascade,0.0,0.0,0.0,0.0
160,modify,46.0,40.0,46.0,0.0
161,check,922.0,272.0,1064.0,184.0
162,default,2726.0,2004.0,3052.0,348.0
163,alter,56.0,26.0,62.0,0.0
164,intension,0.0,0.0,0.0,0.0
165,field,174.0,56.0,285.0,7.0
166,relationship,3.0,3.0,18.0,0.0
167,veiw,0.0,0.0,0.0,0.0
168,index,5412.0,1948.0,7018.0,3074.0
169,package,56.0,11.0,71.0,62.0
170,procedure,6.0,6.0,8.0,0.0
171,function,1332.0,930.0,1542.0,44.0
172,queue,120.0,15.0,135.0,42.0
173,trigger,6.0,0.0,26.0,0.0
174,type,3684.0,1018.0,11454.0,7294.0
175,sequence,326.0,174.0,401.0,16.0
176,normalization,32.0,12.0,42.0,70.0
177,minimality,0.0,0.0,14.0,0.0
178,cluster,62.0,3.0,85.0,0.0
179,key,3480.0,645.0,4941.0,708.0
180,raid,0.0,0.0,10.0,0.0
181,rationality,0.0,0.0,0.0,0.0
182,assertion,4.0,0.0,5.0,0.0
183,consistence,0.0,0.0,23.0,0.0
184,reflexive,0.0,0.0,0.0,0.0
185,trasitivity,0.0,0.0,0.0,0.0
186,decomposition,2.0,1.0,5.0,0.0
187,augmentation,4.0,4.0,15.0,0.0
188,union,472.0,136.0,472.0,0.0
189,composition,2.0,1.0,652.0,56.0
190,redundancy,0.0,0.0,2.0,0.0
191,atomicity,0.0,0.0,0.0,0.0
192,numeric,466.0,204.0,512.0,0.0
193,number,1356.0,816.0,1498.0,0.0
194,float,2436.0,543.0,3852.0,279.0
195,int,4294.0,1074.0,5668.0,894.0
196,real,695.0,95.0,810.0,0.0
197,decimal,132.0,52.0,152.0,0.0
198,character,224.0,144.0,380.0,0.0
199,char,237.0,21.0,714.0,27.0
200,varchar2,0.0,0.0,0.0,0.0
201,nchar,0.0,0.0,79.0,9.0
202,nvarchar2,0.0,0.0,0.0,0.0
203,long,294.0,54.0,2151.0,36.0
204,raw,165.0,37.0,218.0,0.0
205,date,496.0,214.0,1064.0,626.0
206,date,496.0,214.0,1064.0,626.0
207,time,3780.0,1280.0,4460.0,1185.0
208,timestamp,171.0,57.0,239.0,0.0
209,interual,0.0,0.0,226.0,0.0
210,boolean,760.0,424.0,800.0,16.0
211,union,472.0,136.0,472.0,0.0
212,intersect,15.0,4.0,37.0,0.0
213,except,479.0,21.0,479.0,0.0
214,atomicity,0.0,0.0,0.0,0.0
215,consistency,11.0,6.0,23.0,0.0
216,isolation,0.0,0.0,68.0,0.0
217,durability,0.0,0.0,2.0,0.0
218,active,23.0,7.0,64.0,157.0
219,failed,39.0,0.0,89.0,0.0
220,commited,0.0,0.0,62.0,80.0
