,Ontology_Words,Code_Count,Intent_Count,Fuzzy_Code_Count,Fuzzy_Intent_Count
insertion,insertion,21.0,21.0,39.0,0.0
deletion,deletion,0.0,0.0,134.0,0.0
multivalued,multivalued,0.0,0.0,0.0,0.0
stored,stored,32.0,28.0,179.0,78.0
derived,derived,2.0,1.0,3.0,0.0
composite,composite,0.0,0.0,12.0,0.0
complex,complex,152.0,24.0,220.0,84.0
key,key,1845.0,459.0,2715.0,486.0
cardinality,cardinality,0.0,0.0,0.0,0.0
table,table,804.0,350.0,980.0,1398.0
row,row,323.0,149.0,516.0,219.0
tuple,tuple,1180.0,540.0,1640.0,90.0
column,column,461.0,287.0,1276.0,428.0
attribute,attribute,80.0,72.0,170.0,0.0
domain,domain,8.0,0.0,8.0,0.0
schema,schema,160.0,70.0,162.0,378.0
intension,intension,0.0,0.0,0.0,0.0
extension,extension,108.0,42.0,129.0,14.0
tuple,tuple,1180.0,540.0,1640.0,90.0
integrity,integrity,105.0,24.0,105.0,633.0
entity,entity,0.0,0.0,20.0,146.0
atomic,atomic,0.0,0.0,0.0,0.0
uniqueness,uniqueness,2.0,1.0,39.0,466.0
key,key,1845.0,459.0,2715.0,486.0
insert,insert,90.0,46.0,114.0,0.0
delete,delete,55.0,15.0,240.0,0.0
update,update,186.0,36.0,219.0,0.0
reject,reject,1.0,1.0,1.0,0.0
cascade,cascade,0.0,0.0,0.0,0.0
modify,modify,30.0,28.0,30.0,0.0
check,check,526.0,212.0,624.0,0.0
default,default,1976.0,1746.0,2082.0,60.0
alter,alter,24.0,20.0,26.0,0.0
intension,intension,0.0,0.0,0.0,0.0
field,field,74.0,31.0,102.0,0.0
relationship,relationship,3.0,3.0,3.0,0.0
veiw,veiw,0.0,0.0,0.0,0.0
index,index,4786.0,1870.0,6318.0,2258.0
package,package,12.0,2.0,17.0,62.0
procedure,procedure,2.0,2.0,4.0,0.0
function,function,558.0,438.0,630.0,0.0
queue,queue,0.0,0.0,0.0,0.0
trigger,trigger,0.0,0.0,5.0,0.0
type,type,1602.0,548.0,8220.0,6950.0
sequence,sequence,143.0,111.0,146.0,0.0
normalization,normalization,1.0,0.0,3.0,0.0
minimality,minimality,0.0,0.0,6.0,0.0
cluster,cluster,0.0,0.0,0.0,0.0
key,key,1845.0,459.0,2715.0,486.0
raid,raid,0.0,0.0,8.0,0.0
rationality,rationality,0.0,0.0,0.0,0.0
assertion,assertion,0.0,0.0,0.0,0.0
consistence,consistence,0.0,0.0,18.0,0.0
reflexive,reflexive,0.0,0.0,0.0,0.0
trasitivity,trasitivity,0.0,0.0,0.0,0.0
decomposition,decomposition,0.0,0.0,2.0,0.0
augmentation,augmentation,0.0,0.0,0.0,0.0
union,union,332.0,136.0,332.0,0.0
composition,composition,2.0,1.0,84.0,0.0
redundancy,redundancy,0.0,0.0,2.0,0.0
atomicity,atomicity,0.0,0.0,0.0,0.0
numeric,numeric,414.0,192.0,438.0,0.0
number,number,588.0,300.0,662.0,0.0
float,float,930.0,261.0,1470.0,0.0
int,int,914.0,588.0,1420.0,746.0
real,real,85.0,20.0,140.0,0.0
decimal,decimal,98.0,50.0,110.0,0.0
character,character,156.0,132.0,200.0,0.0
char,char,24.0,6.0,33.0,0.0
varchar2,varchar2,0.0,0.0,0.0,0.0
nchar,nchar,0.0,0.0,8.0,0.0
nvarchar2,nvarchar2,0.0,0.0,0.0,0.0
long,long,81.0,27.0,288.0,0.0
raw,raw,22.0,5.0,37.0,0.0
date,date,370.0,178.0,914.0,626.0
date,date,370.0,178.0,914.0,626.0
time,time,950.0,700.0,1235.0,60.0
timestamp,timestamp,124.0,57.0,169.0,0.0
interual,interual,0.0,0.0,124.0,0.0
boolean,boolean,406.0,354.0,432.0,0.0
union,union,332.0,136.0,332.0,0.0
intersect,intersect,11.0,4.0,30.0,0.0
except,except,265.0,15.0,265.0,0.0
atomicity,atomicity,0.0,0.0,0.0,0.0
consistency,consistency,7.0,3.0,17.0,0.0
isolation,isolation,0.0,0.0,3.0,0.0
durability,durability,0.0,0.0,1.0,0.0
active,active,1.0,0.0,16.0,0.0
