,Ontology_Words,Code_Count,Intent_Count,Fuzzy_Code_Count,Fuzzy_Intent_Count
bubble,bubble,6.0,0.0,8.0,0.0
insertion,insertion,0.0,0.0,0.0,0.0
merge,merge,102.0,18.0,120.0,0.0
heap,heap,0.0,0.0,0.0,0.0
quick,quick,0.0,0.0,2.0,0.0
radix,radix,0.0,0.0,0.0,0.0
counting,counting,12.0,8.0,16.0,0.0
bucket,bucket,24.0,6.0,24.0,0.0
shell,shell,106.0,22.0,106.0,0.0
comb,comb,4.0,0.0,40.0,0.0
pigeonhole,pigeonhole,0.0,0.0,0.0,0.0
cycle,cycle,315.0,65.0,345.0,0.0
bubble,bubble,6.0,0.0,8.0,0.0
radix,radix,0.0,0.0,0.0,0.0
counting,counting,12.0,8.0,16.0,0.0
bucket,bucket,24.0,6.0,24.0,0.0
shell,shell,106.0,22.0,106.0,0.0
comb,comb,4.0,0.0,40.0,0.0
pigeonhole,pigeonhole,0.0,0.0,0.0,0.0
linear,linear,69.0,21.0,99.0,0.0
binary,binary,125.0,20.0,125.0,60.0
jump,jump,0.0,0.0,0.0,0.0
interpolation,interpolation,60.0,0.0,327.0,348.0
exponential,exponential,0.0,0.0,0.0,0.0
sublist,sublist,8.0,0.0,8.0,0.0
fibonacci,fibonacci,0.0,0.0,0.0,0.0
sort,sort,32.0,0.0,42.0,0.0
cocktail,cocktail,0.0,0.0,0.0,0.0
strand,strand,0.0,0.0,0.0,0.0
gnome,gnome,0.0,0.0,0.0,0.0
postman,postman,0.0,0.0,0.0,0.0
bitonic,bitonic,0.0,0.0,0.0,0.0
stooge,stooge,0.0,0.0,0.0,0.0
bogo,bogo,0.0,0.0,0.0,0.0
unbounded,unbounded,2.0,0.0,14.0,0.0
ternary,ternary,0.0,0.0,0.0,0.0
informed,informed,0.0,0.0,8.0,0.0
breadth-first,breadth-first,0.0,0.0,92.0,0.0
backtracking,backtracking,0.0,0.0,0.0,0.0
beam,beam,64.0,2.0,64.0,0.0
bidirectional,bidirectional,1.0,0.0,40.0,0.0
graph,graph,84.0,18.0,84.0,24.0
pagerank,pagerank,0.0,0.0,0.0,0.0
trustrank,trustrank,0.0,0.0,0.0,0.0
a-star,a-star,0.0,0.0,2078.0,316.0
interleaving,interleaving,0.0,0.0,0.0,0.0
insertion-,insertion-,0.0,0.0,0.0,0.0
merge,merge,102.0,18.0,120.0,0.0
heap,heap,0.0,0.0,0.0,0.0
quick,quick,0.0,0.0,2.0,0.0
cycle,cycle,315.0,65.0,345.0,0.0
linear,linear,69.0,21.0,99.0,0.0
binary,binary,125.0,20.0,125.0,60.0
jump,jump,0.0,0.0,0.0,0.0
interpolation,interpolation,60.0,0.0,327.0,348.0
exponential,exponential,0.0,0.0,0.0,0.0
sublist,sublist,8.0,0.0,8.0,0.0
fibonacci,fibonacci,0.0,0.0,0.0,0.0
cocktail,cocktail,0.0,0.0,0.0,0.0
strand,strand,0.0,0.0,0.0,0.0
gnome,gnome,0.0,0.0,0.0,0.0
stran,stran,0.0,0.0,0.0,0.0
pancake,pancake,0.0,0.0,0.0,0.0
postman,postman,0.0,0.0,0.0,0.0
unbounded,unbounded,2.0,0.0,14.0,0.0
ternary,ternary,0.0,0.0,0.0,0.0
informed,informed,0.0,0.0,8.0,0.0
beam,beam,64.0,2.0,64.0,0.0
beamstack,beamstack,0.0,0.0,0.0,0.0
bestfirst,bestfirst,0.0,0.0,0.0,0.0
bloomfilter,bloomfilter,0.0,0.0,0.0,0.0
bruteforce,bruteforce,0.0,0.0,0.0,0.0
depthfirst,depthfirst,0.0,0.0,0.0,0.0
uniformcost,uniformcost,0.0,0.0,0.0,0.0
localbeam,localbeam,0.0,0.0,0.0,0.0
simulatedannealing,simulatedannealing,0.0,0.0,0.0,0.0
interleaving,interleaving,0.0,0.0,0.0,0.0
pureheuristic,pureheuristic,0.0,0.0,1.0,0.0
a-star,a-star,0.0,0.0,2078.0,316.0
hashing,hashing,0.0,0.0,0.0,0.0
probing,probing,0.0,0.0,0.0,0.0
sorting,sorting,3.0,0.0,10.0,0.0
ing,ing,0.0,0.0,2.0,0.0
bubbl,bubbl,0.0,0.0,4.0,0.0
count,count,90.0,12.0,170.0,34.0
pigeonhol,pigeonhol,0.0,0.0,0.0,0.0
backtrack,backtrack,0.0,0.0,0.0,0.0
hash,hash,8.0,4.0,146.0,0.0
probe,probe,0.0,0.0,10.0,0.0
attribute,attribute,56.0,32.0,84.0,0.0
relationship,relationship,0.0,0.0,15.0,0.0
recursive,recursive,80.0,4.0,140.0,64.0
tuple,tuple,475.0,110.0,725.0,105.0
raid,raid,0.0,0.0,2.0,0.0
schema,schema,254.0,56.0,314.0,10.0
instance,instance,69.0,60.0,513.0,0.0
integrity,integrity,0.0,0.0,0.0,0.0
entity,entity,44.0,22.0,74.0,0.0
entities,entities,13.0,6.0,14.0,0.0
relation,relation,0.0,0.0,6.0,0.0
relationship,relationship,0.0,0.0,15.0,0.0
multivalued,multivalued,0.0,0.0,0.0,0.0
copmlex,copmlex,0.0,0.0,2.0,0.0
selection,selection,0.0,0.0,63.0,82.0
projection,projection,0.0,0.0,6.0,0.0
rename,rename,12.0,6.0,12.0,0.0
set,set,1016.0,364.0,1328.0,196.0
join,join,115.0,5.0,118.0,0.0
division,division,0.0,0.0,0.0,0.0
quantifiers,quantifiers,0.0,0.0,0.0,0.0
constrains,constrains,4.0,0.0,43.0,0.0
insert,insert,52.0,16.0,82.0,26.0
delete,delete,240.0,20.0,305.0,35.0
update,update,636.0,96.0,744.0,21.0
alter,alter,30.0,4.0,34.0,0.0
select,select,84.0,25.0,178.0,87.0
view,view,107.0,8.0,115.0,68.0
aliasing,aliasing,0.0,0.0,0.0,0.0
arithmetic,arithmetic,3.0,0.0,3.0,0.0
exists,exists,87.0,10.0,148.0,5.0
joins,joins,2.0,1.0,117.0,0.0
transaction,transaction,4.0,0.0,18.0,0.0
serializability,serializability,0.0,0.0,2.0,0.0
polygraph,polygraph,0.0,0.0,0.0,0.0
lock,lock,0.0,0.0,90.0,9.0
records,records,7.0,1.0,25.0,0.0
indexing,indexing,0.0,0.0,0.0,0.0
underflow,underflow,2.0,1.0,2.0,0.0
overflow,overflow,10.0,0.0,10.0,0.0
insertion,insertion,0.0,0.0,0.0,0.0
deletion,deletion,0.0,0.0,4.0,0.0
insertion,insertion,0.0,0.0,0.0,0.0
deletion,deletion,0.0,0.0,4.0,0.0
multivalued,multivalued,0.0,0.0,0.0,0.0
stored,stored,57.0,10.0,114.0,10.0
derived,derived,0.0,0.0,0.0,0.0
composite,composite,0.0,0.0,24.0,0.0
complex,complex,8.0,4.0,72.0,0.0
key,key,756.0,84.0,1110.0,138.0
cardinality,cardinality,0.0,0.0,0.0,0.0
table,table,382.0,42.0,458.0,166.0
row,row,150.0,8.0,208.0,5.0
tuple,tuple,475.0,110.0,725.0,105.0
column,column,196.0,47.0,318.0,20.0
attribute,attribute,56.0,32.0,84.0,0.0
domain,domain,8.0,4.0,8.0,0.0
schema,schema,254.0,56.0,314.0,10.0
intension,intension,0.0,0.0,0.0,0.0
extension,extension,27.0,9.0,55.0,12.0
tuple,tuple,475.0,110.0,725.0,105.0
integrity,integrity,0.0,0.0,0.0,0.0
entity,entity,44.0,22.0,74.0,0.0
atomic,atomic,0.0,0.0,0.0,0.0
uniqueness,uniqueness,0.0,0.0,0.0,0.0
key,key,756.0,84.0,1110.0,138.0
insert,insert,52.0,16.0,82.0,26.0
delete,delete,240.0,20.0,305.0,35.0
update,update,636.0,96.0,744.0,21.0
reject,reject,1.0,1.0,14.0,0.0
cascade,cascade,0.0,0.0,0.0,0.0
modify,modify,12.0,8.0,12.0,0.0
check,check,246.0,46.0,278.0,184.0
default,default,310.0,68.0,430.0,272.0
alter,alter,30.0,4.0,34.0,0.0
intension,intension,0.0,0.0,0.0,0.0
field,field,62.0,17.0,119.0,7.0
relationship,relationship,0.0,0.0,15.0,0.0
veiw,veiw,0.0,0.0,0.0,0.0
index,index,196.0,50.0,230.0,218.0
package,package,43.0,9.0,53.0,0.0
procedure,procedure,0.0,0.0,0.0,0.0
function,function,202.0,154.0,248.0,44.0
queue,queue,30.0,9.0,45.0,0.0
trigger,trigger,0.0,0.0,5.0,0.0
type,type,1078.0,174.0,1418.0,148.0
sequence,sequence,37.0,12.0,58.0,0.0
normalization,normalization,2.0,2.0,3.0,0.0
minimality,minimality,0.0,0.0,2.0,0.0
cluster,cluster,31.0,3.0,54.0,0.0
key,key,756.0,84.0,1110.0,138.0
raid,raid,0.0,0.0,2.0,0.0
rationality,rationality,0.0,0.0,0.0,0.0
assertion,assertion,0.0,0.0,0.0,0.0
consistence,consistence,0.0,0.0,4.0,0.0
reflexive,reflexive,0.0,0.0,0.0,0.0
trasitivity,trasitivity,0.0,0.0,0.0,0.0
decomposition,decomposition,0.0,0.0,0.0,0.0
augmentation,augmentation,4.0,4.0,9.0,0.0
union,union,128.0,0.0,128.0,0.0
composition,composition,0.0,0.0,35.0,0.0
redundancy,redundancy,0.0,0.0,0.0,0.0
atomicity,atomicity,0.0,0.0,0.0,0.0
numeric,numeric,46.0,8.0,54.0,0.0
number,number,196.0,134.0,200.0,0.0
float,float,603.0,96.0,876.0,279.0
int,int,1088.0,142.0,1398.0,92.0
real,real,110.0,20.0,130.0,0.0
decimal,decimal,14.0,0.0,20.0,0.0
